shipment_id,product_id,carrier,origin,destination,status,last_update
SHP001,PDT001,FedEx,North Reginaldside,West Coreybury,Exception,2025-05-03 07:03
SHP002,PDT002,BlueDart,North Marymouth,Roblesfurt,Delivered,2025-05-02 02:03
SHP003,PDT003,DHL,Olivermouth,Hillshire,In Transit,2025-05-02 05:03
SHP004,PDT004,DHL,South Daniel,Lake Josephmouth,In Transit,2025-05-01 03:03
SHP005,PDT005,Delhivery,Myerstown,Tiffanyport,Delayed,2025-05-01 20:03
SHP006,PDT006,Delhivery,Anneside,Jessicastad,Dispatched,2025-05-01 21:03
SHP007,PDT007,Delhivery,South Thomasland,South Micheal,Exception,2025-05-03 03:03
SHP008,PDT008,BlueDart,Emilyville,Emilyhaven,In Transit,2025-05-01 11:03
SHP009,PDT009,BlueDart,West Juanborough,Hallton,Delayed,2025-05-02 10:03
SHP010,PDT010,DHL,Port Jamesborough,New Jessica,Dispatched,2025-05-03 01:03
SHP011,PDT011,Delhivery,Charleschester,Rachelland,Delayed,2025-05-02 07:03
SHP012,PDT012,Delhivery,Douglasfort,Kristenhaven,Delivered,2025-05-02 11:03
SHP013,PDT013,DHL,Trevorchester,Port Sarah,Delivered,2025-05-02 22:03
SHP014,PDT014,FedEx,Espinozaside,Phillipsville,Exception,2025-05-03 03:03
SHP015,PDT015,FedEx,Ashleymouth,South Deborahton,In Transit,2025-05-01 12:03
SHP016,PDT016,DHL,Barnesbury,Lake Josephtown,Dispatched,2025-05-01 16:03
SHP017,PDT017,DHL,Judithchester,North Charleston,In Transit,2025-05-02 09:03
SHP018,PDT018,DHL,Jordanview,Erintown,Delivered,2025-05-01 14:03
SHP019,PDT019,DHL,Port Cody,Sarahview,In Transit,2025-05-03 04:03
SHP020,PDT020,DHL,West Sharon,Thompsonchester,In Transit,2025-05-01 16:03
SHP021,PDT021,DHL,Port Amandachester,Kaylaberg,Delayed,2025-05-02 23:03
SHP022,PDT022,DHL,Darrellborough,Garciastad,In Transit,2025-05-03 08:03
SHP023,PDT023,DHL,Brownburgh,North Anthonyfurt,Exception,2025-05-02 11:03
SHP024,PDT024,DHL,New Christine,Burgessview,Delayed,2025-05-02 15:03
SHP025,PDT025,FedEx,Jesustown,Ramirezfort,Dispatched,2025-05-03 10:03
SHP026,PDT026,DHL,East Matthewview,Smithchester,In Transit,2025-05-03 07:03
SHP027,PDT027,BlueDart,East Helen,West Dianebury,Delivered,2025-05-02 22:03
SHP028,PDT028,Delhivery,Lake Christy,Port Stevenberg,In Transit,2025-05-03 04:03
SHP029,PDT029,Delhivery,Cameronhaven,Claireborough,In Transit,2025-05-01 00:03
SHP030,PDT030,Delhivery,Lake Paulberg,Thomasmouth,Delivered,2025-05-01 09:03
SHP031,PDT031,Delhivery,South John,North Gary,Delayed,2025-04-30 17:03
SHP032,PDT032,DHL,Lake Felicia,Garciafurt,Dispatched,2025-05-02 00:03
SHP033,PDT033,Delhivery,Lake Javiermouth,Heathershire,Dispatched,2025-05-03 15:03
SHP034,PDT034,Delhivery,Rodneyfort,Port Kathleenbury,Exception,2025-05-01 01:03
SHP035,PDT035,DHL,Combsberg,Parkschester,Exception,2025-05-01 00:03
SHP036,PDT036,DHL,Ashleyberg,South Nina,Delivered,2025-05-03 15:03
SHP037,PDT037,FedEx,Michaelchester,Mirandafort,In Transit,2025-05-02 18:03
SHP038,PDT038,Delhivery,Leebury,Millermouth,Delayed,2025-05-02 04:03
SHP039,PDT039,DHL,Lake Michael,Dillonmouth,Dispatched,2025-05-03 07:03
SHP040,PDT040,FedEx,Donnamouth,Kellyfurt,Delayed,2025-05-02 00:03
SHP041,PDT041,BlueDart,Briannastad,Michaelview,Delayed,2025-05-01 23:03
SHP042,PDT042,BlueDart,Jameschester,West Caleb,Exception,2025-04-30 21:03
SHP043,PDT043,BlueDart,Philipstad,East Michaelburgh,Dispatched,2025-05-01 11:03
